"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Color (product.metafields.shopify.color-pattern)","Shoe size (product.metafields.shopify.shoe-size)","Size (product.metafields.shopify.size)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"lumberjack-jogger-beige","LUMBERJACK JOGGER BEIGE","&nbsp; &nbsp; REF:&nbsp;LBJ89101-BGE Le jogger&nbsp; Lumberjack &nbsp;combine confort et style moderne. Confectionné dans un tissu doux et respirant, il offre une grande liberté de mouvement pour un usage quotidien. Sa coupe ajustée avec taille élastique et cordon de serrage assure un maintien parfait, tandis que les poches latérales ajoutent une touche pratique. Idéal pour un look casual ou sportif, ce jogger reflète l’esprit authentique et robuste de la marque Lumberjack. MADE IN ALGERIA","Kimland","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Clothing","kimland, imported","TRUE","Taille","S","product.metafields.shopify.size","","","","","","","LBJ89101-BGE-S",0,"shopify",25,"deny","manual","5200.00","3360.00","TRUE","TRUE","","","","","","https://kimland.dz/upload/76674301-65727136.jpg",1,"LUMBERJACK JOGGER BEIGE","FALSE","","","","","S","https://kimland.dz/upload/76674301-65727136.jpg","kg","","3360.00","active"
"lumberjack-jogger-beige","","","","","","","","","M","","","","","","","","LBJ89101-BGE-M",0,"shopify",70,"deny","manual","5200.00","3360.00","TRUE","TRUE","","","","","","","","","","","","","","","https://kimland.dz/upload/09792458-63888270.jpg","kg","","3360.00",""
"lumberjack-jogger-beige","","","","","","","","","L","","","","","","","","LBJ89101-BGE-L",0,"shopify",148,"deny","manual","5200.00","3360.00","TRUE","TRUE","","","","","","","","","","","","","","","https://kimland.dz/upload/75146076-55316592.jpeg","kg","","3360.00",""
"lumberjack-jogger-beige","","","","","","","","","XL","","","","","","","","LBJ89101-BGE-XL",0,"shopify",150,"deny","manual","5200.00","3360.00","TRUE","TRUE","","","","","","","","","","","","","","","https://kimland.dz/upload/45042726-87883284.jpeg","kg","","3360.00",""
"lumberjack-jogger-beige","","","","","","","","","2XL","","","","","","","","LBJ89101-BGE-2XL",0,"shopify",94,"deny","manual","5200.00","3360.00","TRUE","TRUE","","","","","","","","","","","","","","","https://kimland.dz/upload/76674301-65727136.jpg","kg","","3360.00",""
"lumberjack-jogger-beige","","","","","","","","","3XL","","","","","","","","LBJ89101-BGE-3XL",0,"shopify",52,"deny","manual","5200.00","3360.00","TRUE","TRUE","","","","","","","","","","","","","","","https://kimland.dz/upload/76674301-65727136.jpg","kg","","3360.00",""
